"구별(1)",구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구별(1)",구별(2),총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
"구별(1)",구별(2),총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),소계,소계,소계,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),소계,소계,소계,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),소계,소계,소계
"구별(1)",구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,1418187,693363,724824,1524430,752085,772345,387416,187651,199765,461123,228118,233005,567366,286840,280526,-106243,-58722,-47521,1201527,588783,612744,1236867,610990,625877,302805,146608,156197,430576,214442,216134,465916,236649,229267,-35340,-22207,-13133,1206963,591466,615497,1238213,612386,625827,298251,144608,153643,430159,214229,215930,461409,235149,226260,-31250,-20920,-10330
"합계",종로구,22204,10792,11412,24428,12121,12307,3223,1557,1666,7977,3878,4099,8197,4184,4013,-2224,-1329,-895,19123,9375,9748,20556,10232,10324,2433,1183,1250,7497,3680,3817,6944,3511,3433,-1433,-857,-576,18238,8948,9290,19701,9722,9979,2427,1158,1269,6922,3462,3460,6628,3353,3275,-1463,-774,-689
"합계",중구,19917,9753,10164,21126,10591,10535,3015,1547,1468,6524,3128,3396,6837,3478,3359,-1209,-838,-371,16738,8431,8307,17465,8787,8678,2338,1222,1116,6145,3059,3086,5721,2884,2837,-727,-356,-371,18860,9290,9570,17634,8939,8695,2443,1274,1169,6465,3177,3288,5683,2910,2773,1226,351,875
"합계",용산구,36011,17381,18630,39572,19435,20137,7113,3436,3677,12099,5851,6248,13537,6712,6825,-3561,-2054,-1507,31046,15006,16040,32325,15718,16607,5811,2788,3023,10892,5266,5626,11209,5478,5731,-1279,-712,-567,28429,13983,14446,33660,16549,17111,5556,2794,2762,10033,4851,5182,11239,5554,5685,-5231,-2566,-2665
"합계",성동구,39831,19585,20246,46075,22988,23087,7867,3819,4048,12858,6434,6424,15269,7871,7398,-6244,-3403,-2841,34138,16857,17281,38153,19105,19048,6502,3197,3305,12253,6179,6074,12447,6473,5974,-4015,-2248,-1767,34789,17232,17557,38474,19224,19250,6445,3119,3326,11742,5998,5744,12037,6261,5776,-3685,-1992,-1693
"합계",광진구,51522,24847,26675,56750,27405,29345,13736,6548,7188,17738,8657,9081,20306,10106,10200,-5228,-2558,-2670,45983,22238,23745,47193,22949,24244,11426,5423,6003,16844,8356,8488,16464,8334,8130,-1210,-711,-499,44952,21730,23222,46500,22692,23808,11349,5404,5945,16070,7832,8238,16114,8132,7982,-1548,-962,-586
"합계",동대문구,48955,24492,24463,51031,25922,25109,10881,5469,5412,17685,8810,8875,18715,9629,9086,-2076,-1430,-646,44531,22235,22296,43365,21927,21438,9306,4638,4668,16661,8301,8360,15751,8175,7576,1166,308,858,50572,25053,25519,45202,22806,22396,10932,5390,5542,17592,8753,8839,15867,8233,7634,5370,2247,3123
"합계",중랑구,52867,26090,26777,57957,28986,28971,19004,9406,9598,13278,6601,6677,21460,10925,10535,-5090,-2896,-2194,45183,22158,23025,45343,22589,22754,14706,7235,7471,12686,6277,6409,16486,8484,8002,-160,-431,271,41382,20485,20897,43728,22047,21681,13195,6619,6576,12138,6067,6071,16363,8482,7881,-2346,-1562,-784
"합계",성북구,59054,28630,30424,62394,30409,31985,15232,7259,7973,17626,8402,9224,20806,10401,10405,-3340,-1779,-1561,52764,25375,27389,50725,24735,25990,12903,6160,6743,17747,8470,9277,16864,8486,8378,2039,640,1399,46456,22276,24180,50528,24531,25997,10735,5058,5677,16701,7998,8703,17482,8735,8747,-4072,-2255,-1817
"합계",강북구,37057,18326,18731,42961,21288,21673,12081,5991,6090,8991,4496,4495,13782,6923,6859,-5904,-2962,-2942,31243,15286,15957,34364,17020,17344,9204,4553,4651,8812,4207,4605,11056,5651,5405,-3121,-1734,-1387,28752,14056,14696,32802,16171,16631,8339,4094,4245,8747,4189,4558,11161,5634,5527,-4050,-2115,-1935
"합계",도봉구,36895,18208,18687,42682,21259,21423,11844,5742,6102,9373,4728,4645,15601,8046,7555,-5787,-3051,-2736,28791,14118,14673,32358,16036,16322,8344,4061,4283,8473,4234,4239,12306,6328,5978,-3567,-1918,-1649,28112,13921,14191,31809,15872,15937,7675,3815,3860,8590,4287,4303,12247,6354,5893,-3697,-1951,-1746
"합계",노원구,58736,28763,29973,68473,33973,34500,18539,8866,9673,17902,9062,8840,26953,13935,13018,-9737,-5210,-4527,48607,23975,24632,53482,26623,26859,13649,6477,7172,17810,9101,8709,21591,11297,10294,-4875,-2648,-2227,51357,25267,26090,55948,27785,28163,14912,7020,7892,18108,9310,8798,22900,11925,10975,-4591,-2518,-2073
"합계",은평구,63269,30016,33253,66951,32416,34535,22712,10626,12086,17972,8696,9276,26790,13318,13472,-3682,-2400,-1282,55986,26571,29415,59509,28772,30737,19749,9239,10510,16983,8149,8834,23612,11778,11834,-3523,-2201,-1322,55974,26361,29613,54703,26380,28323,17513,8128,9385,17945,8530,9415,21800,10895,10905,1271,-19,1290
"합계",서대문구,42484,20134,22350,47061,22507,24554,8262,3866,4396,15627,7373,8254,17020,8284,8736,-4577,-2373,-2204,43478,20497,22981,39904,19243,20661,8029,3773,4256,15841,7432,8409,14424,7203,7221,3574,1254,2320,39701,18904,20797,39256,18912,20344,6936,3299,3637,15149,7137,8012,14254,7049,7205,445,-8,453
"합계",마포구,61543,28849,32694,62124,29357,32767,13751,6399,7352,20868,9673,11195,21474,10342,11132,-581,-508,-73,49721,23149,26572,52169,24636,27533,10650,4897,5753,18512,8718,9794,18498,8919,9579,-2448,-1487,-961,50582,23523,27059,51353,24363,26990,10229,4720,5509,18152,8423,9729,17802,8628,9174,-771,-840,69
"합계",양천구,54952,27139,27813,60442,30048,30394,15867,7732,8135,15759,8007,7752,21795,11222,10573,-5490,-2909,-2581,44539,22006,22533,49292,24555,24737,12077,5806,6271,13538,6928,6610,18487,9551,8936,-4753,-2549,-2204,44203,21890,22313,48552,24346,24206,11704,5651,6053,13775,7067,6708,17952,9399,8553,-4349,-2456,-1893
"합계",강서구,87269,41993,45276,91368,44848,46520,28004,13255,14749,27835,13647,14188,38114,19332,18782,-4099,-2855,-1244,70228,34020,36208,73672,36029,37643,20267,9630,10637,25405,12562,12843,31672,15858,15814,-3444,-2009,-1435,68774,33370,35404,74672,36480,38192,20069,9540,10529,25065,12382,12683,31978,16090,15888,-5898,-3110,-2788
"합계",구로구,48170,23910,24260,54880,27540,27340,11292,5544,5748,18689,9364,9325,25943,13275,12668,-6710,-3630,-3080,44870,22308,22562,45359,22787,22572,9949,4857,5092,17864,8990,8874,20989,10710,10279,-489,-479,-10,40950,20334,20616,43785,22003,21782,7990,3911,4079,17428,8828,8600,21094,10824,10270,-2835,-1669,-1166
"합계",금천구,35663,18407,17256,35047,18306,16741,8884,4548,4336,14153,7408,6745,16569,8837,7732,616,101,515,30153,15684,14469,30370,15811,14559,7191,3665,3526,12908,6879,6029,14275,7600,6675,-217,-127,-90,28345,14642,13703,30146,15678,14468,6606,3314,3292,12232,6500,5732,14488,7762,6726,-1801,-1036,-765
"합계",영등포구,60565,30065,30500,61108,30800,30308,11395,5802,5593,22369,11128,11241,23458,11953,11505,-543,-735,192,53661,26732,26929,53953,27328,26625,10033,5147,4886,20932,10381,10551,20683,10644,10039,-292,-596,304,54543,26938,27605,55574,27796,27778,10188,5063,5125,21105,10545,10560,20749,10613,10136,-1031,-858,-173
"합계",동작구,64257,31601,32656,68311,33562,34749,13934,6667,7267,22212,11217,10995,25241,12821,12420,-4054,-1961,-2093,53359,26405,26954,56607,27917,28690,10509,4925,5584,21349,10952,10397,21437,11002,10435,-3248,-1512,-1736,54293,27070,27223,55848,27646,28202,9988,4867,5121,21421,10994,10427,20539,10661,9878,-1555,-576,-979
"합계",관악구,89756,46084,43672,95711,48726,46985,23003,11619,11384,38240,20085,18155,38434,20117,18317,-5955,-2642,-3313,87212,45246,41966,83760,43003,40757,20756,10651,10105,40204,21285,18919,33134,17520,15614,3452,2243,1209,78023,40652,37371,81728,41965,39763,19072,9818,9254,35738,19003,16735,32339,17144,15195,-3705,-1313,-2392
"합계",서초구,70064,33483,36581,81777,39335,42442,21088,10004,11084,19822,9551,10271,25239,12393,12846,-11713,-5852,-5861,51077,24581,26496,57143,27583,29560,12630,6038,6592,16487,8098,8389,19489,9476,10013,-6066,-3002,-3064,61789,29507,32282,58610,28406,30204,15516,7375,8141,19043,9242,9801,18149,9010,9139,3179,1101,2078
"합계",강남구,94082,45864,48218,98106,47889,50217,25525,12316,13209,31081,15214,15867,33407,16448,16959,-4024,-2025,-1999,75316,36595,38721,76819,37370,39449,19287,9215,10072,26417,13027,13390,27014,13414,13600,-1503,-775,-728,97833,47647,50186,82248,40225,42023,25105,12040,13065,31925,15701,16224,26519,13297,13222,15585,7422,8163
"합계",송파구,105181,50901,54280,113651,55405,58246,33451,16057,17394,33486,16276,17210,43826,21762,22064,-8470,-4504,-3966,88263,42638,45625,86137,41870,44267,26071,12495,13576,30822,15076,15746,33163,16512,16651,2126,768,1358,83854,40589,43265,88772,43416,45356,24765,11962,12803,29369,14398,14971,34064,17033,17031,-4918,-2827,-2091
"합계",강동구,77883,38050,39833,74444,36969,37475,27713,13576,14137,20959,10432,10527,28593,14526,14067,3439,1081,2358,55517,27297,28220,56844,28365,28479,18985,9333,9652,17494,8835,8659,22200,11361,10839,-1327,-1068,-259,56200,27798,28402,56980,28432,28548,18562,9175,9387,18704,9555,9149,21961,11171,10790,-780,-634,-146
